Number,Theme,Subtheme,Year,Set name,Minifigs
75333-1,Star Wars,Episode II,2022,Obi-Wan Kenobi's Jedi Starfighter,3.0
75334-1,Star Wars,Obi-Wan Kenobi,2022,Obi-Wan Kenobi vs. Darth Vader,4.0
75335-1,Star Wars,Jedi: Fallen Order,2022,BD-1,1.0
75336-1,Star Wars,Obi-Wan Kenobi,2022,Inquisitor Transport Scythe,4.0
75337-1,Star Wars,Episode III,2022,AT-TE Walker,9.0
75338-1,Star Wars,Andor,2022,Ambush on Ferrix,3.0
75339-1,Star Wars,Diorama Collection,2022,Death Star Trash Compactor Diorama,6.0
75340-1,Star Wars,Seasonal,2022,Star Wars Advent Calendar,8.0
75341-1,Star Wars,Ultimate Collector Series,2022,Luke Skywalker's Landspeeder,2.0
75342-1,Star Wars,The Clone Wars,2022,Republic Fighter Tank,6.0
75343-1,Star Wars,Helmet Collection,2022,Dark Trooper Helmet,0.0
75524-1,Star Wars,Buildable Figures,2017,Chirrut Îmwe,0.0
75525-1,Star Wars,Buildable Figures,2017,Baze Malbus,0.0
75526-1,Star Wars,Buildable Figures,2017,Elite TIE Fighter Pilot,0.0
75529-1,Star Wars,Buildable Figures,2017,Elite Praetorian Guard,0.0
75530-1,Star Wars,Buildable Figures,2017,Chewbacca,0.0
75531-1,Star Wars,Buildable Figures,2017,Stormtrooper Commander,0.0
75532-1,Star Wars,Buildable Figures,2017,Scout Trooper & Speeder Bike,0.0
92177-1,Ideas,,2020,Ship in a Bottle,0.0
6373603-1,Miscellaneous,,2021,Ulysses Space Probe,0.0
6392343-1,Promotional,,2021,Vintage Camera,0.0
